session_id,frame_index,qber,photon_count,latency_ms,abort_flag,label
0,0,0.01899,991,5.19548,0,normal
0,1,0.02149,1014,5.17827,0,normal
0,2,0.02078,1036,5.10705,0,normal
0,3,0.02061,1040,5.0937,0,normal
0,4,0.02085,1051,5.03502,0,normal
0,5,0.02751,1054,4.96466,0,normal
0,6,0.03079,1032,5.00104,0,normal
0,7,0.02834,1053,4.95574,0,normal
0,8,0.02806,1070,4.79545,0,normal
0,9,0.02959,1073,4.73865,0,normal
0,10,0.02778,1083,4.76504,0,normal
0,11,0.02926,1115,4.75079,0,normal
0,12,0.03022,1090,4.72946,0,normal
0,13,0.03404,1150,4.63736,0,normal
0,14,0.03756,1124,4.58264,0,normal
0,15,0.02905,1135,4.49033,0,normal
0,16,0.03299,1130,4.4729,0,normal
0,17,0.03079,1126,4.48735,0,normal
0,18,0.03846,1155,4.40366,0,normal
0,19,0.03936,1155,4.34073,0,normal
0,20,0.04181,1155,4.26481,0,normal
0,21,0.0429,1184,4.17875,0,normal
0,22,0.04213,1141,4.26509,0,normal
0,23,0.03836,1191,4.13503,0,normal
0,24,0.04311,1165,4.10589,0,normal
0,25,0.04288,1207,4.1638,0,normal
0,26,0.04575,1204,3.97684,0,normal
0,27,0.0407,1209,3.98919,0,normal
0,28,0.04772,1224,3.95461,0,normal
0,29,0.04245,1233,3.88546,0,normal
0,30,0.04493,1221,3.77494,0,normal
0,31,0.04771,1245,3.78266,0,normal
0,32,0.04711,1237,3.77625,0,normal
0,33,0.04659,1232,3.71371,0,normal
0,34,0.04784,1283,3.65385,0,normal
0,35,0.04981,1249,3.59152,0,normal
0,36,0.05177,1236,3.63302,0,normal
0,37,0.05438,1274,3.56489,0,normal
0,38,0.05221,1270,3.50102,0,normal
0,39,0.05613,1294,3.42831,0,normal
0,40,0.05655,1317,3.43976,0,normal
0,41,0.05072,1324,3.44856,0,normal
0,42,0.06286,1306,3.26033,0,normal
0,43,0.0623,1306,3.26675,0,normal
0,44,0.061,1341,3.18363,0,normal
0,45,0.06068,1335,3.25395,0,normal
0,46,0.0632,1330,3.1543,0,normal
0,47,0.06606,1329,3.03877,0,normal
0,48,0.06814,1356,2.89625,0,normal
0,49,0.06725,1371,2.93202,0,normal
1,0,0.08575,1009,5.74489,0,intercept_resend
1,1,0.08239,954,5.84698,0,intercept_resend
1,2,0.08826,968,5.84465,0,intercept_resend
1,3,0.08937,990,5.88246,0,intercept_resend
1,4,0.0876,973,5.91888,0,intercept_resend
